symbol,direction,entry_date,entry_price,shares,position_size,signal_score,market_regime,sector,exit_price,exit_date,profit_loss,profit_loss_pct
AON,LONG,2024-01-04,107.59337574850653,185,20000.0,1.0,BULLISH,Unknown,103.04504476013882,2024-01-10,-841.4412328480263,-4.2273336594616975
CBRE,LONG,2024-01-10,89.82403356207512,222,20000.0,1.0,BULLISH,Financials,95.16033369888322,2024-01-25,1184.6586303713996,5.940837797180772
HPQ,LONG,2024-01-08,246.87235678826326,81,20000.0,1.0,BULLISH,Technology,259.73439810708334,2024-01-16,1041.825346824426,5.209996569138594
IBM,LONG,2024-01-02,125.31227301890966,159,20000.0,1.0,BULLISH,Technology,131.3550617030946,2024-01-13,960.8034007854056,4.822184243097315
MCK,LONG,2024-01-04,236.0729953742837,84,20000.0,1.0,BULLISH,Unknown,245.4553843347918,2024-01-19,788.1206726826812,3.9743592635967326
MDT,LONG,2024-01-10,224.3490749580233,89,20000.0,1.0,BULLISH,Healthcare,240.0053028730672,2024-01-25,1393.404284438907,6.978512355343233
NWS,LONG,2024-01-07,137.60512833931236,145,20000.0,1.0,BULLISH,Communication Services,144.14923521396776,2024-01-23,948.8954968250328,4.755714378986441
VLTO,LONG,2024-01-07,166.96311779561097,119,20000.0,1.0,BULLISH,Financials,176.21888819830755,2024-01-19,1101.4366779208935,5.543601799546589
CAT,SHORT,2024-01-08,124.61135591913809,160,20000.0,1.0,BULLISH,Industrials,121.7676767488621,2024-01-21,454.9886672441585,2.2820385423951883
LEN,SHORT,2024-01-10,109.02674240936561,183,20000.0,1.0,BULLISH,Unknown,112.15176259024116,2024-01-17,-571.878693100226,-2.866287767401098
RVTY,SHORT,2024-01-04,238.458811171575,83,20000.0,1.0,BULLISH,Unknown,229.06436485322993,2024-01-21,779.7390444226412,3.9396515784797885
SLB,LONG,2024-01-02,148.81913314296085,134,20000.0,0.9500000000000001,BULLISH,Energy,145.64411476744985,2024-01-11,-425.4524623184742,-2.133474579818288
FTV,SHORT,2024-01-08,148.5086089333343,134,20000.0,0.97,BULLISH,Unknown,153.52320850795329,2024-01-12,-671.9563429989439,-3.376638977791536
HWM,SHORT,2024-01-03,275.77871607445144,72,20000.0,0.97,BULLISH,Unknown,263.6378997774026,2024-01-13,874.1387733875167,4.402376104242652
USB,SHORT,2024-01-07,267.4358148064751,74,20000.0,0.97,BULLISH,Financials,272.81285898119427,2024-01-09,-397.9012689292189,-2.010592402745376
DPZ,SHORT,2024-01-06,175.18124365896304,114,20000.0,0.96,BULLISH,Consumer Discretionary,166.34101604606863,2024-01-21,1007.7859478699627,5.046332260378439
CTVA,LONG,2024-01-09,85.8098248414498,233,20000.0,0.9000000000000001,BULLISH,Materials,90.3032421152208,2024-01-16,1046.9662247886433,5.236483447056851
LIN,LONG,2024-01-07,170.08228355839702,117,20000.0,0.9000000000000001,BULLISH,Materials,175.50548217054714,2024-01-21,634.5142376215637,3.188573494362866
MPWR,LONG,2024-01-07,60.99552582319334,327,20000.0,0.9000000000000001,BULLISH,Unknown,58.76728478782074,2024-01-14,-728.6348185668395,-3.6531221024826617
CME,LONG,2024-01-05,164.89556344670447,121,20000.0,0.9,BULLISH,Financials,162.06729887269213,2024-01-09,-342.2200134554928,-1.7151853663585361
EQIX,LONG,2024-01-10,168.54053391605453,118,20000.0,0.9,BULLISH,Real Estate,175.03349701335438,2024-01-24,766.1696454813823,3.8524638236483972
FAST,LONG,2024-01-06,213.02071666301953,93,20000.0,0.9,BULLISH,Industrials,225.4727188704376,2024-01-20,1158.036205289881,5.845441890572594
J,LONG,2024-01-06,164.61944529723232,121,20000.0,0.9,BULLISH,Unknown,169.77722741340384,2024-01-16,624.0916360567537,3.1331548389430863
PKG,LONG,2024-01-07,261.6419943043206,76,20000.0,0.9,BULLISH,Materials,273.3120307942758,2024-01-17,886.922773236598,4.460307115830036
TPR,LONG,2024-01-10,116.91162668114245,171,20000.0,0.9,BULLISH,Unknown,122.9268501595586,2024-01-22,1028.603214809161,5.145102885978747
TDY,LONG,2024-01-09,236.2377328238645,84,20000.0,0.9,BULLISH,Unknown,248.29816249361562,2024-01-18,1013.0760922590949,5.105208861254704
ANSS,SHORT,2024-01-08,195.08453345530066,102,20000.0,0.9199999999999999,BULLISH,Unknown,190.38045568882487,2024-01-17,479.8159321805307,2.411302261208542
COF,SHORT,2024-01-05,164.58695603488385,121,20000.0,0.9199999999999999,BULLISH,Financials,156.58963402532763,2024-01-19,967.6759631563036,4.859025406522006
GNRC,SHORT,2024-01-02,87.62006477696478,228,20000.0,0.9199999999999999,BULLISH,Unknown,84.45436008286948,2024-01-14,721.7806702537276,3.612990588575275
HON,SHORT,2024-01-06,100.98658377877302,198,20000.0,0.9199999999999999,BULLISH,Industrials,95.6311187299416,2024-01-19,1060.3820796686211,5.303145079710188
JKHY,SHORT,2024-01-05,209.26841259901207,95,20000.0,0.9199999999999999,BULLISH,Unknown,199.31658609322153,2024-01-24,945.4235180501008,4.755532085417799
JCI,SHORT,2024-01-08,146.4599728477895,136,20000.0,0.9199999999999999,BULLISH,Industrials,139.5224089434021,2024-01-20,943.5086909966849,4.73683271237347
NCLH,SHORT,2024-01-02,132.26448954176428,151,20000.0,0.9199999999999999,BULLISH,Unknown,135.19053239207975,2024-01-06,-441.83247039763575,-2.21226639172228
